"Aqualung",7467,1310,"Other Concerts"
"Aquarium Rescue Unit",10944,1310,"Other Concerts"
"Aqueduct",12196,1310,"Other Concerts"
"Arab Strap",4946,1310,"Other Concerts"
"Arc Angels",6666,1303,"Blues and Jazz"
"Arcade Fire",6410,1301,"Alternative Rock"
"Arch Enemy",8952,1310,"Other Concerts"
"Arch Martin Quartet",14108,1310,"Other Concerts"
"Archaica",14633,1310,"Other Concerts"
"Archer",10802,1310,"Other Concerts"
"Architecture In Helsinki",8839,1310,"Other Concerts"
"Arctic Monkeys",8113,1301,"Alternative Rock"
"Arctic Sleep",13137,1310,"Other Concerts"
"Area 809 'El Concierto'",7657,1310,"Other Concerts"
"Area: 2 Music Festival",1891,1310,"Other Concerts"
"Aretha Franklin",39,1313,"R&B"
"Ari Hest",10439,1301,"Alternative Rock"
"Ariadne Auf Naxos",5797,1310,"Other Concerts"
"Ariel Zilber",4463,1310,"Other Concerts"
"Arizona Opera",14167,1310,"Other Concerts"
"Arizona Pops",5296,1310,"Other Concerts"
"Arlo Guthrie",43,1306,"Country and Folk"
"Armenian Music Awards",13908,1310,"Other Concerts"
"Armin Van Buuren",10274,1310,"Other Concerts"
"Armor for Sleep",4484,1310,"Other Concerts"
"Army of Anyone",8344,1310,"Other Concerts"
"Army of Me",11337,1310,"Other Concerts"
"Arrested Development",4344,1310,"Other Concerts"
"Arrowfest",1992,1310,"Other Concerts"
"Arsis",11231,1310,"Other Concerts"
"Art Alexakis",4784,1310,"Other Concerts"
"Art Brut",8349,1310,"Other Concerts"
"Art Garfunkel",966,1306,"Country and Folk"
"Art of War II",13010,1310,"Other Concerts"
"Arte y Pureza Flamenco Company",14066,1310,"Other Concerts"
"Artimus Pyle",14390,1310,"Other Concerts"
"Artist Reception",13207,1310,"Other Concerts"
"Arturo Sandoval",3443,1303,"Blues and Jazz"
"Arythma",12550,1310,"Other Concerts"
"As Cities Burn",10042,1310,"Other Concerts"
"As I Lay Dying",7861,1310,"Other Concerts"
"As Liberty",12197,1310,"Other Concerts"
"As Tall As Lions",9690,1310,"Other Concerts"
"Asbury Skate & Surf",2756,1310,"Other Concerts"
"Ascot Fire",10207,1310,"Other Concerts"
"Asesino",12146,1310,"Other Concerts"
"Ash",6714,1310,"Other Concerts"
